"","PermitNum","PermitClass","PermitClassMapped","PermitTypeMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","EstProjectCost","AppliedDate","IssuedDate","ExpiresDate","CompletedDate","StatusCurrent","OriginalAddress1","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1"
"4653","6670546-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct addition and alterations to upper floor of existing single family residence, per plan.",2,0,0,65450,"","","","","Additional Info Requested","408 W COMSTOCK ST","SEATTLE","WA",98119,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670546-CN",47.63070918,-122.36236653,"408 W COMSTOCK ST
SEATTLE, WA 98119
(47.63070918, -122.36236653)"
"4658","6646720-CN","Single Family/Duplex","Residential","Building","New","Establish use as a townhouse and construct a two-family dwelling, per plans.",0,0,2,382219,"2018-03-30","2019-01-10","2020-07-10","","Issued","604 N 46TH ST","SEATTLE","WA",98103,"ALEKSEY GUYVORONSKY","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6646720-CN",47.66240685,-122.35115644,"604 N 46TH ST
SEATTLE, WA 98103
(47.66240685, -122.35115644)"
"4668","6646596-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct addition and alterations to existing single-family residence, per plan.",1,0,0,20000,"2018-03-14","2018-08-17","2020-02-17","","Issued","10748 EXETER AVE NE","SEATTLE","WA",98125,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6646596-CN",47.70901189,-122.27730917,"10748 EXETER AVE NE
SEATTLE, WA 98125
(47.70901189, -122.27730917)"
"4679","6672552-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct addition and alterations to existing single family residence, per plan.",0,0,0,45000,"2018-06-27","2018-09-04","2020-03-04","","Issued","4057 SW HOLGATE ST","SEATTLE","WA",98116,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6672552-CN",47.58655789,-122.38290274,"4057 SW HOLGATE ST
SEATTLE, WA 98116
(47.58655789, -122.38290274)"
"4695","6673763-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct seismic retrofit to single family home, per Project Impact Drawings.",1,0,0,0,"2018-08-31","2018-09-18","2020-03-18","2018-09-25","Completed","9741 DAYTON AVE N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6673763-CN",47.70090095,-122.35300512,"9741 DAYTON AVE N
SEATTLE, WA 98103
(47.70090095, -122.35300512)"
"4706","6608592-CN","Multifamily","Residential","Building","Addition/Alteration","Construct alterations to remove existing exterior stair and construct new exterior stair to an existing apartment building (triplex), per plan.",0,0,0,15000,"2017-12-28","2018-09-26","2020-03-26","","Issued","6635 CARLETON AVE S","SEATTLE","WA",98108,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6608592-CN",47.54331932,-122.32177074,"6635 CARLETON AVE S
SEATTLE, WA 98108
(47.54331932, -122.32177074)"
"4710","6715675-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct tenant improvement to portion of existing office tenant space, per plans",0,0,0,250000,"2019-03-08","2019-07-23","2021-01-23","","Issued","333 BOREN AVE N","SEATTLE","WA",98109,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6715675-CN",47.62113072,-122.33630945,"333 BOREN AVE N
SEATTLE, WA 98109
(47.62113072, -122.33630945)"
"4740","6635514-CN","Commercial","Non-Residential","Building","Addition/Alteration","Alterations to existing rooftop minor communication utility, per plans.",0,0,0,50000,"2018-04-06","2019-02-08","2020-08-08","","Issued","2721 1ST AVE","SEATTLE","WA",98121,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6635514-CN",47.61598534,-122.35150146,"2721 1ST AVE
SEATTLE, WA 98121
(47.61598534, -122.35150146)"
"4774","6642957-CN","Multifamily","Residential","Building","New","Establish use as rowhouse and construct a townhouse building, per plan.",0,0,8,1128663,"2018-06-15","2019-06-17","2020-12-17","","Issued","807 DAVIS PL S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6642957-CN",47.59552478,-122.30893151,"807 DAVIS PL S
SEATTLE, WA 98144
(47.59552478, -122.30893151)"
"4779","6688839-CN","Multifamily","Residential","Building","Addition/Alteration","Change of use from retail to indoor participant sports and construct tenant improvements to existing mixed-use building at the ground floor level, occupy per plan.",0,0,0,140000,"2018-10-17","2019-01-24","2020-07-24","2019-06-05","Completed","4351 15TH AVE S","SEATTLE","WA",98108,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6688839-CN",47.56382103,-122.31387741,"4351 15TH AVE S
SEATTLE, WA 98108
(47.56382103, -122.31387741)"
"4783","6644834-CN","Multifamily","Residential","Building","Addition/Alteration","Alterations to change use of office units 202A and 202B to apartments and occupy, mechanical review included, per plans.",0,0,2,80000,"2018-05-17","2019-06-20","2020-12-20","","Issued","2100 THORNDYKE AVE W","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6644834-CN",47.63785479,-122.38800719,"2100 THORNDYKE AVE W
SEATTLE, WA 98199
(47.63785479, -122.38800719)"
"4786","6678830-CN","Vacant Land","Non-Residential","Building","Temporary","Establish temporary use as showroom/sales office and temporary structure permit to install L&I certified trailers and 2 pavilions for 4-weeks beginning Nov 1st to Nov 30th], per plans.",0,0,0,1500000,"2018-09-10","2018-11-02","2020-05-02","2018-11-15","Completed","300 VIRGINIA ST","SEATTLE","WA",98101,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6678830-CN",47.61274253,-122.34080801,"300 VIRGINIA ST
SEATTLE, WA 98101
(47.61274253, -122.34080801)"
"4791","6699357-CN","Commercial","Non-Residential","Building","Addition/Alteration","Change use from eating and drinking establishment and general sales and services to indoor sports and recreation, and construct initial tenant improvements for commercial gym in existing mixed use structure, occupy per plan.",0,0,0,1083510,"2018-12-25","2019-07-03","2021-01-03","","Issued","1401 NW 46TH ST","SEATTLE","WA",98107,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6699357-CN",47.66203113,-122.37412195,"1401 NW 46TH ST
SEATTLE, WA 98107
(47.66203113, -122.37412195)"
"4792","6698867-CN","Multifamily","Residential","Building","Addition/Alteration","Construct alterations to an existing apartment building at the rooftop level minor communications antenna facility (T-mobile) and at equipment area, per plan.",0,0,0,30000,"2019-03-11","2019-04-22","2020-10-22","","Issued","505 NE 70TH ST","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6698867-CN",47.67930699,-122.32201451,"505 NE 70TH ST
SEATTLE, WA 98115
(47.67930699, -122.32201451)"
"4798","6701691-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct tenant improvements (MOD Pizza) to existing mixed-use building at the ground floor level, per plan.  Mechanical is included.",0,0,0,250000,"2019-03-26","","","","Reviews Completed","1302 6TH AVE","SEATTLE","WA",98101,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6701691-CN",47.60967251,-122.33230647,"1302 6TH AVE
SEATTLE, WA 98101
(47.60967251, -122.33230647)"
"4801","6537517-CN","Commercial","Non-Residential","Building","Addition/Alteration","Alterations to portion of main floor and basement to change use from restaurant and occupy as urban farm, per plans.",0,0,0,1000,"2018-10-17","","","","Corrections Required","9724 AURORA AVE N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6537517-CN",47.70036535,-122.34436161,"9724 AURORA AVE N
SEATTLE, WA 98103
(47.70036535, -122.34436161)"
"4805","6634660-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct a single-family residence with attached garage, per plan.",0,0,1,421509,"2018-01-26","2018-09-04","2020-03-04","","Issued","3519 SW 105TH ST","SEATTLE","WA",98146,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6634660-CN",47.50871087,-122.37694261,"3519 SW 105TH ST
SEATTLE, WA 98146
(47.50871087, -122.37694261)"
"4808","6623832-CN","Commercial","Non-Residential","Building","New","Construct West duplex, per plans. (Establish use as townhouse and construct two 2 family dwellings. Reviews and processing for 2 A/P's under 6623832)",0,0,4,323241,"2018-02-13","2018-11-06","2020-05-06","","Issued","716 M L KING JR WAY","SEATTLE","WA",98122,"DC GRANGER INC","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6623832-CN",47.60854419,-122.2959652,"716 M L KING JR WAY
SEATTLE, WA 98122
(47.60854419, -122.2959652)"
"4815","6621744-CN","Commercial","Non-Residential","Building","New","Construct Two-Family Dwelling and occupy, per plans (Establish use as and construct two Live/Work buildings, one Townhouse (Duplex) building and two Single family residences, per plans. Reviews and processing for 5 A/P's under 6565309)",0,0,2,323677,"2017-10-03","2018-09-04","2020-03-04","","Issued","1419 E YESLER WAY","SEATTLE","WA",98122,"CAO HUUYNH","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6621744-CN",47.60142653,-122.31345547,"1419 E YESLER WAY
SEATTLE, WA 98122
(47.60142653, -122.31345547)"
"4826","6590927-CN","Multifamily","Residential","Building","New","Establish use as rowhouse and construct new townhouse building, per plan.",0,0,7,877877,"2018-04-04","2019-02-21","2020-08-21","","Issued","2300 W NEWTON ST","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6590927-CN",47.63715064,-122.38650248,"2300 W NEWTON ST
SEATTLE, WA 98199
(47.63715064, -122.38650248)"
"4882","6677797-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to exterior walls of adjacent buildings, per plans.",0,0,0,14500,"2018-07-13","2018-08-30","2020-02-29","","Issued","8419 GREENWOOD AVE N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6677797-CN",47.69043496,-122.35559415,"8419 GREENWOOD AVE N
SEATTLE, WA 98103
(47.69043496, -122.35559415)"
"4890","6727800-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct alterations for earthquake home retrofit to basement of existing single family residence, per Project Impact plans.",1,0,0,5000,"2019-05-16","2019-06-18","2020-12-18","","Issued","4006 35TH AVE SW","SEATTLE","WA",98126,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6727800-CN",47.56773494,-122.37590646,"4006 35TH AVE SW
SEATTLE, WA 98126
(47.56773494, -122.37590646)"
"4906","6723899-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct minor alterations to telecommunications facility (Verizon) on rooftop of existing commercial structure, per plan.",0,0,0,30000,"2019-06-24","","","","Corrections Required","700 FAIRVIEW AVE N","SEATTLE","WA",98109,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6723899-CN",47.62572461,-122.33390849,"700 FAIRVIEW AVE N
SEATTLE, WA 98109
(47.62572461, -122.33390849)"
"4950","6632023-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct a new single family residence, per plan.",0,0,1,269680,"2018-04-04","2018-09-29","2020-03-29","","Issued","1539 NW 59TH ST","SEATTLE","WA",98107,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6632023-CN",47.67134899,-122.37793819,"1539 NW 59TH ST
SEATTLE, WA 98107
(47.67134899, -122.37793819)"
"4955","6679044-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct improvements to existing shed and reconstruct accessory electrical room, subject to field inspection (STFI)",1,0,0,50000,"2018-08-24","2018-08-24","2020-02-24","2018-10-10","Completed","5602 39TH AVE W","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6679044-CN",47.66970142,-122.40827755,"5602 39TH AVE W
SEATTLE, WA 98199
(47.66970142, -122.40827755)"
"4957","6708949-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct non-structural alterations to kitchen in existing single family residence, subject to field inspection (STFI).",1,0,0,21000,"2019-01-18","2019-01-21","2020-07-21","2019-07-30","Completed","9209 20TH AVE NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6708949-CN",47.69616172,-122.3071001,"9209 20TH AVE NE
SEATTLE, WA 98115
(47.69616172, -122.3071001)"
"4971","6591339-CN","Multifamily","Residential","Building","New","Construct a new apartment building, occupy per plan. Mechanical included.",0,0,15,811145,"2018-02-05","2019-05-10","2020-11-10","","Issued","2119 13TH AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6591339-CN",47.58402723,-122.31629017,"2119 13TH AVE S
SEATTLE, WA 98144
(47.58402723, -122.31629017)"
"4976","6618831-CN","Single Family/Duplex","Residential","Building","New","Construct southwest single family residence, per plans.  (Establish use as 3 single family residences and construct 3 one-family dwellings.  Reviews and processing for 3 A/Ps under 6618831).",0,0,1,171391,"2017-12-26","2018-06-26","2019-12-26","","Completed","814 NW 53RD ST","SEATTLE","WA",98107,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6618831-CN",47.66736087,-122.36696565,"814 NW 53RD ST
SEATTLE, WA 98107
(47.66736087, -122.36696565)"
"4977","6611713-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Remove and reconstruct attached garage for single family residence and remodel kitchen, per plan.",1,0,0,45000,"2018-02-22","2018-07-06","2020-01-06","","Issued","3565 LAKEWOOD AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6611713-CN",47.57139268,-122.28214888,"3565 LAKEWOOD AVE S
SEATTLE, WA 98144
(47.57139268, -122.28214888)"
"4999","6635608-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct exterior alterations and tenant improvements to existing restaurant building (Taco Time), per plan.",0,0,0,3e+05,"2018-03-15","2018-09-04","2020-03-04","","Issued","2212 RAINIER AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6635608-CN",47.58323738,-122.30151916,"2212 RAINIER AVE S
SEATTLE, WA 98144
(47.58323738, -122.30151916)"
"5000","6652756-CN","Institutional","Non-Residential","Building","Addition/Alteration","Install mobile temporary computer tomography device on exterior of existing institutional building (UW Medical), per plan.",0,0,0,118000,"2018-04-03","","","","Corrections Required","1959 NE PACIFIC ST","SEATTLE","WA",98195,"U OF W BUILDING PERMIT","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6652756-CN",47.65034994,-122.30908696,"1959 NE PACIFIC ST
SEATTLE, WA 98195
(47.65034994, -122.30908696)"
"5032","6671180-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Remove existing chimney and interior alterations, subject to field inspection (STFI)",1,0,0,15000,"2018-06-01","2018-06-01","2019-12-01","","Issued","8504 25TH AVE NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6671180-CN",47.6904182,-122.30119509,"8504 25TH AVE NE
SEATTLE, WA 98115
(47.6904182, -122.30119509)"
"5044","6598518-CN","Multifamily","Residential","Building","New","Establish use and construct a 7 unit apartment structure, per plans.",0,0,7,992401,"2017-12-05","2019-08-05","2021-02-05","","Issued","2513 13TH AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6598518-CN",47.58059807,-122.31638526,"2513 13TH AVE S
SEATTLE, WA 98144
(47.58059807, -122.31638526)"
"5048","6711237-CN","Institutional","Non-Residential","Building","Temporary","Temporary structure - WA L & I approved -  as an office for MB.5 Pharmacy - Children's Hospital, per plans",0,0,0,0,"2019-02-04","2019-03-08","2020-09-08","2019-03-21","Completed","4800 SAND POINT WAY NE","SEATTLE","WA",98105,"SELLEN CONSTRUCTION","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6711237-CN",47.66231885,-122.2814725,"4800 SAND POINT WAY NE
SEATTLE, WA 98105
(47.66231885, -122.2814725)"
"5070","6678349-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Establish use for the record as duplex and construct exterior stairs and structure, per plans",0,0,0,3004,"2018-09-17","2019-02-28","2020-08-28","","Issued","930 N 85TH ST","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6678349-CN",47.69077641,-122.34578623,"930 N 85TH ST
SEATTLE, WA 98103
(47.69077641, -122.34578623)"
"5096","6636137-CN","Multifamily","Residential","Building","New","Establish use as Townhouse and construct residential townhouse, per plan.",0,0,5,1013230,"2018-10-11","2019-03-26","2020-09-26","","Issued","4235 S LUCILE ST","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6636137-CN",47.55250756,-122.27906837,"4235 S LUCILE ST
SEATTLE, WA 98118
(47.55250756, -122.27906837)"
"5104","6653105-CN","Multifamily","Residential","Building","New","Construct new apartment building, and occupy per plan.",0,0,54,4044594,"2018-08-20","2019-05-01","2020-11-01","","Issued","7001 ROOSEVELT WAY NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6653105-CN",47.67966299,-122.31766148,"7001 ROOSEVELT WAY NE
SEATTLE, WA 98115
(47.67966299, -122.31766148)"
"5109","6699870-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to combine and connect tenant spaces into one restaurant and occupy, per plans.",0,0,0,28892,"2019-01-14","2019-04-03","2020-10-03","2019-07-10","Completed","432 BROADWAY E","SEATTLE","WA",98102,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6699870-CN",47.62297996,-122.32060819,"432 BROADWAY E
SEATTLE, WA 98102
(47.62297996, -122.32060819)"
"5122","6396936-CN","Multifamily","Residential","Building","New","10/12/18  HUD. EXTENSION GRANTED. SUBJECT TO CANCELLATION AFTER 12/31/18. Construction of residential high rise building with below grade parking and occupy, per plan (shoring and excavation under 6471374)",0,0,292,58553174,"2015-07-07","","","","Corrections Required","901 HARRISON ST","SEATTLE","WA",98109,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6396936-CN",47.62184178,-122.33934951,"901 HARRISON ST
SEATTLE, WA 98109
(47.62184178, -122.33934951)"
"5144","6729389-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","First Floor Kitchen Remodel",1,0,0,20000,"2019-05-24","2019-05-24","2020-11-24","","Issued","10526 12TH AVE NW","SEATTLE","WA",98177,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6729389-CN",47.70607194,-122.37115097,"10526 12TH AVE NW
SEATTLE, WA 98177
(47.70607194, -122.37115097)"
"5147","6647978-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to an existing commercial office building (Starbucks HQ) to the roof of the loading dock, per plan",0,0,0,55000,"2018-03-06","2018-10-11","2020-04-11","","Issued","2401 UTAH AVE S","SEATTLE","WA",98134,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6647978-CN",47.58181846,-122.33535752,"2401 UTAH AVE S
SEATTLE, WA 98134
(47.58181846, -122.33535752)"
"5200","6670331-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct additions and alterations to existing single family residence, per plan.",1,0,0,95000,"2018-10-02","2018-12-12","2020-06-12","","Issued","6714 34TH AVE NW","SEATTLE","",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670331-CN",47.67749407,-122.40078559,"6714 34TH AVE NW
SEATTLE 98117
(47.67749407, -122.40078559)"
"5215","6637557-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Remove and replace existing detached garage to existing duplex, per plan.",0,0,0,110000,"2018-04-06","2018-07-08","2020-01-08","2019-06-26","Completed","1630 37TH AVE","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6637557-CN",47.61622964,-122.28567582,"1630 37TH AVE
SEATTLE, WA 98122
(47.61622964, -122.28567582)"
"5218","6522304-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct new single family residence, per plan.",0,0,1,417011,"2016-04-12","","","","Corrections Required","5655 21ST AVE SW","SEATTLE","WA",98106,"BETTER IMAGE LLC","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6522304-CN",47.55037239,-122.36020942,"5655 21ST AVE SW
SEATTLE, WA 98106
(47.55037239, -122.36020942)"
"5221","6731272-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Interior alterations to SFR, subject to field inspection, STFI.",1,0,0,11000,"2019-06-06","2019-06-08","2020-12-08","","Issued","13518 25TH AVE NE","SEATTLE","WA",98125,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6731272-CN",47.72705835,-122.30124648,"13518 25TH AVE NE
SEATTLE, WA 98125
(47.72705835, -122.30124648)"
"5233","6701889-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","TWO STORY ADDITION TO THE BACK OF AN EXISTING SINGLE FAMILY HOME + MAIN FLOOR REMODEL OF KITCHEN AND MASTER BATH.",1,0,0,3e+05,"","","","","Scheduled","1120 NW 59TH ST","SEATTLE","WA",98107,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6701889-CN",47.6718303,-122.37177398,"1120 NW 59TH ST
SEATTLE, WA 98107
(47.6718303, -122.37177398)"
"5246","6649328-CN","Institutional","Non-Residential","Building","Addition/Alteration","Construct voluntary seismic upgrades to existing institutional building (Savery Hall) at the University of Washington, per plan.",0,0,0,1750000,"2018-10-10","2018-11-08","2020-05-08","","Issued","4100 SPOKANE LN NE","SEATTLE","WA",98195,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6649328-CN",47.65715168,-122.30839446,"4100 SPOKANE LN NE
SEATTLE, WA 98195
(47.65715168, -122.30839446)"
"5263","6728720-CN","Multifamily","Residential","Building","Addition/Alteration","Construct nonstructural alterations to exterior of existing multifamily residence, Subject to Field Inspection (STFI)",24,0,0,1500000,"2019-07-10","2019-07-10","2021-01-10","","Issued","3401 W GOVERNMENT WAY","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6728720-CN",47.6586421,-122.40132179,"3401 W GOVERNMENT WAY
SEATTLE, WA 98199
(47.6586421, -122.40132179)"
"5265","6608078-CN","Multifamily","Residential","Building","New","Establish use as and construct a duplex with surface parking, per plans.",1,0,2,279789,"2017-11-17","2018-06-12","2019-12-12","2019-04-23","Completed","6703 CARLETON AVE S","SEATTLE","WA",98108,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6608078-CN",47.542251,-122.32210848,"6703 CARLETON AVE S
SEATTLE, WA 98108
(47.542251, -122.32210848)"
"5299","6657918-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct interior alterations in basement of existing mixed use building for a restaurant, occupy per plan.",0,0,0,1e+06,"2018-05-03","2018-11-30","2020-05-30","","Issued","4507 BROOKLYN AVE NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6657918-CN",47.66151134,-122.31458654,"4507 BROOKLYN AVE NE
SEATTLE, WA 98105
(47.66151134, -122.31458654)"
"5306","6646967-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct tenant improvements to existing laboratory office building, occupy per plan.",0,0,0,3771373,"2018-07-24","2018-10-23","2020-04-23","","Completed","960 REPUBLICAN ST","SEATTLE","WA",98109,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6646967-CN",47.62349049,-122.33744282,"960 REPUBLICAN ST
SEATTLE, WA 98109
(47.62349049, -122.33744282)"
"5328","6544003-CN","Multifamily","Residential","Building","Addition/Alteration","Construct substantial alterations to existing multifamily building to convert office space to apartments and add 7 units, occupy per plan.",0,0,9,350000,"2017-10-11","2019-01-31","2020-07-31","","Issued","1709 HARBOR AVE SW","SEATTLE","WA",98126,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6544003-CN",47.58777081,-122.37953594,"1709 HARBOR AVE SW
SEATTLE, WA 98126
(47.58777081, -122.37953594)"
"5333","6691268-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Repair and alterations to foundation of existing single family residence, per plan.",1,0,0,20000,"2018-10-26","2019-01-02","2020-07-02","","Issued","4021 34TH AVE SW","SEATTLE","WA",98126,"DOCHNAHL CONSTRUCTION INC","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6691268-CN",47.56725455,-122.37536849,"4021 34TH AVE SW
SEATTLE, WA 98126
(47.56725455, -122.37536849)"
"5342","6672236-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct alterations and an accessory dwelling unit (ADU), per plans",1,0,1,120310,"2019-02-12","2019-07-28","2021-01-28","","Issued","3301 16TH AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6672236-CN",47.57394454,-122.31273633,"3301 16TH AVE S
SEATTLE, WA 98144
(47.57394454, -122.31273633)"
"5360","6688400-CN","Commercial","Non-Residential","Building","Addition/Alteration","Change use from warehouse to indoor sports and recreation facility, and construct substantial alterations for gym in an existing commercial structure, occupy per plan.",0,0,0,532407,"2018-09-18","2019-02-07","2020-08-07","","Issued","3625 INTERLAKE AVE N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6688400-CN",47.65138279,-122.34174479,"3625 INTERLAKE AVE N
SEATTLE, WA 98103
(47.65138279, -122.34174479)"
"5368","6735507-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct addition to expand kitchen in single family residence, subject field inspection (STFI).",1,0,0,35000,"2019-06-28","2019-06-28","2020-12-28","","Issued","3005 35TH AVE W","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6735507-CN",47.6471348,-122.40259591,"3005 35TH AVE W
SEATTLE, WA 98199
(47.6471348, -122.40259591)"
"5394","6556369-CN","Institutional","Non-Residential","Building","Addition/Alteration","Change Use from museum to school and construct substantial alterations and addition to existing institutional building, occupy per plan.  Mechanical included. (Webster School)",0,0,0,23472640,"2018-06-26","2019-03-05","2020-09-05","","Issued","3014 NW 67TH ST","SEATTLE","WA",98117,"SEATTLE SCHOOL DISTRICT (A&S)","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6556369-CN",47.67767821,-122.39632663,"3014 NW 67TH ST
SEATTLE, WA 98117
(47.67767821, -122.39632663)"
"5431","6669846-CN","Commercial","Non-Residential","Building","Addition/Alteration","Initial tenant improvements to 7th floor of existing commercial building, per plan",0,0,0,1725000,"2018-06-29","2018-10-08","2020-04-08","2019-06-27","Completed","2100 7TH AVE","SEATTLE","",98121,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6669846-CN",47.61630006,-122.33903406,"2100 7TH AVE
SEATTLE 98121
(47.61630006, -122.33903406)"
