"","OBJECTID","RIVER_ID","SEGMENT_ID","WSR_RIVER_NAME","WSR_RIVER_SHORTNAME","GNIS_NAME","CLASSIFICATION","SEGMENT_MILES","TOTAL_MILES","BEGINNING_POINT_NARRATIVE","ENDING_POINT_NARRATIVE","AGENCY","ORV_CULTURE","ORV_FISH","ORV_GEOLOGIC","ORV_HISTORIC","ORV_RECREATIONAL","ORV_SCENIC","ORV_WILDLIFE","STATE","ORV_OTHER","ORV_ID","ORV_LIST","SEGMENT_ACRES","ADMINISTRATIVE_UNIT","COUNTY","SHAPELEN"
"211",227,"162","162.3004","Wekiva Wild and Scenic River","Wekiva","Wekiva River","Wild",NA,NA,"confluence with St. John","southern boundary of Lower Wekiva State Preserve","NPS","No","Yes","No","Yes","Yes","Yes","Yes","Florida","","162.1","Fish, Historic, Recreation, Scenic, Wildlife",NA,"","",0.0858299729444891
"212",228,"162","162.3005","Wekiva Wild and Scenic River","Wekiva","Rock Springs Run","Wild",NA,NA,"western boundary of Rock Springs State reserve","confluence with Wekiva Springs Run","NPS","No","Yes","No","Yes","Yes","Yes","Yes","Florida","","162.1","Fish, Historic, Recreation, Scenic, Wildlife",NA,"","",0.100742106077194
"213",229,"162","162.3006","Wekiva Wild and Scenic River","Wekiva","Rock Springs Run","Recreational",NA,NA,"western boundary of Rock Springs State reserve","Rock Springs","NPS","No","Yes","No","Yes","Yes","Yes","Yes","Florida","","162.1","Fish, Historic, Recreation, Scenic, Wildlife",NA,"","",0.0379542529344338
"214",230,"162","162.3007","Wekiva Wild and Scenic River","Wekiva","Black Water Creek","Wild",NA,NA,"SeminoleState forest rd crossing ","confluence with Wekiva River","NPS","No","Yes","No","Yes","Yes","Yes","Yes","Florida","","162.1","Fish, Historic, Recreation, Scenic, Wildlife",NA,"","",0.0705846030852961
"215",214,"145","145.3005","Great Egg Harbor Wild and Scenic River","Great Egg Harbor","Big Bridge Branch","Recreational",NA,NA,"Confluence of Great Egg Harbor River","Headwaters","NPS","No","No","No","Yes","Yes","No","Yes","New Jersey","Hydrology, Traditional Use","145.1","Historic, Recreation, Wildlife, Hydrology, Traditional Use",NA,"","",0.0417001129054067
"216",215,"145","145.3006","Great Egg Harbor Wild and Scenic River","Great Egg Harbor","Penny Pot Stream","Recreational",NA,NA,"Confluence of Great Egg Harbor River","14th Street","NPS","No","No","No","Yes","Yes","No","Yes","New Jersey","Hydrology, Traditional Use","145.1","Historic, Recreation, Wildlife, Hydrology, Traditional Use",NA,"","",0.0701532708619264
"217",216,"145","145.3007","Great Egg Harbor Wild and Scenic River","Great Egg Harbor","Deep Run","Recreational",NA,NA,"Confluence of Great Egg Harbor River","Pancoast Mill Rd","NPS","No","No","No","Yes","Yes","No","Yes","New Jersey","Hydrology, Traditional Use","145.1","Historic, Recreation, Wildlife, Hydrology, Traditional Use",NA,"","",0.164829503054511
"218",217,"145","145.3008","Great Egg Harbor Wild and Scenic River","Great Egg Harbor","Mare Run","Recreational",NA,NA,"Confluence of Great Egg Harbor River","Weymouth Ave","NPS","No","No","No","Yes","Yes","No","Yes","New Jersey","Hydrology, Traditional Use","145.1","Historic, Recreation, Wildlife, Hydrology, Traditional Use",NA,"","",0.0107521162167089
"219",218,"145","145.3009","Great Egg Harbor Wild and Scenic River","Great Egg Harbor","Babcock Creek","Recreational",NA,NA,"Confluence of Great Egg Harbor River","Headwaters","NPS","No","No","No","Yes","Yes","No","Yes","New Jersey","Hydrology, Traditional Use","145.1","Historic, Recreation, Wildlife, Hydrology, Traditional Use",NA,"","",0.158187205974935
"220",199,"143","143.2001","Sisquoc Wild and Scenic River","Sisquoc","Sisquoc River","Wild",33,33,"Origin","Los Padres National Forest Boundary","USFS","Yes","Yes","No","Yes","Yes","Yes","Yes","California","","","Cultural, Fish, Historic, Recreation, Scenery, Wildlife",NA," LOS PADRES NATIONAL FOREST","SANTA BARBARA",0.573495414423001
"221",200,"144","144.2001","Big Sur Wild and Scenic River","Big Sur ","Big Sur River","Wild",19.5,19.5,"Headwaters of South and North Forks to confluence with mainstem.","Ventana Wilderness Boundary","USFS","No","Yes","No","No","Yes","Yes","Yes","California","","","Fish, Recreation, Scenery, Wildlife",NA," LOS PADRES NATIONAL FOREST","MONTEREY",0.337342196175902
"222",201,"145","145.3017","Great Egg Harbor Wild and Scenic River","Great Egg Harbor","Lakes Creek","Recreational",NA,NA,"Confluence of Great Egg Harbor River","Dam","NPS","No","No","No","Yes","Yes","No","Yes","New Jersey","Hydrology, Traditional Use","145.1","Historic, Recreation, Wildlife, Hydrology, Traditional Use",NA,"","",0.0547039144735505
"223",202,"145","145.3018","Great Egg Harbor Wild and Scenic River","Great Egg Harbor","Middle River","Scenic",NA,NA,"Confluence of Great Egg Harbor River","Levee","NPS","No","No","No","Yes","Yes","No","Yes","New Jersey","Hydrology, Traditional Use","145.1","Historic, Recreation, Wildlife, Hydrology, Traditional Use",NA,"","",0.0964663720068254
"224",203,"145","145.3019","Great Egg Harbor Wild and Scenic River","Great Egg Harbor","Patcong Creek","Recreational",NA,NA,"Confluence of Great Egg Harbor River","Garden State Parkway","NPS","No","No","No","Yes","Yes","No","Yes","New Jersey","Hydrology, Traditional Use","145.1","Historic, Recreation, Wildlife, Hydrology, Traditional Use",NA,"","",0.0494142760112579
"225",204,"145","145.3020","Great Egg Harbor Wild and Scenic River","Great Egg Harbor","Tuckahoe River","Scenic",NA,NA,"Confluence of Great Egg Harbor River","Route 50 bridge","NPS","No","No","No","Yes","Yes","No","Yes","New Jersey","Hydrology, Traditional Use","145.1","Historic, Recreation, Wildlife, Hydrology, Traditional Use",NA,"","",0.155897487904102
"226",205,"145","145.3021","Great Egg Harbor Wild and Scenic River","Great Egg Harbor","Tuckahoe River","Recreational",NA,NA,"Route 50 bridge","Route 49 bridge","NPS","No","No","No","Yes","Yes","No","Yes","New Jersey","Hydrology, Traditional Use","145.1","Historic, Recreation, Wildlife, Hydrology, Traditional Use",NA,"","",0.0909751651673457
"227",206,"145","145.3022","Great Egg Harbor Wild and Scenic River","Great Egg Harbor","Cedar Swamp Creek","Scenic",NA,NA,"Confluence with Tuckahoe River","Headwaters","NPS","No","No","No","Yes","Yes","No","Yes","New Jersey","Hydrology, Traditional Use","145.1","Historic, Recreation, Wildlife, Hydrology, Traditional Use",NA,"","",0.147407768209057
"228",207,"146","146.3001","Maurice Wild and Scenic River","Maurice","Maurice River","Recreational",NA,NA,"US Geological Survey Station at Shellpile","Route 670 bridge","NPS","Yes","Yes","No","No","Yes","No","Yes","New Jersey","Ecology, Water Quality","146.1","Cultural, Fish, Recreation, Wildlife, Ecologic, Water Quality",NA,"","",0.161425327360501
"229",208,"146","146.3002","Maurice Wild and Scenic River","Maurice","Maurice River","Scenic",NA,NA,"Route 670 bridge","3.6 miles upstream at drainage ditch just upstream from Fralinger Farm","NPS","Yes","Yes","No","No","Yes","No","Yes","New Jersey","Ecology, Water Quality ","146.1","Cultural, Fish, Recreation, Wildlife, Ecologic, Water Quality",NA,"","",0.0585128383892474
"230",209,"146","146.3003","Maurice Wild and Scenic River","Maurice","Maurice River","Recreational",NA,NA,"Drainage ditch upstream from Fralinger Farm","One-half mile upstream from US Geologic Survey Statetion at Burcham Farm","NPS","Yes","Yes","No","No","Yes","No","Yes","New Jersey","Ecology, Water Quality ","146.1","Cultural, Fish, Recreation, Wildlife, Ecologic, Water Quality",NA,"","",0.0512568235660928
"231",250,"163A","163A.3004","White Clay Wild and Scenic River","White Clay","Middle Branch White Clay Creek","Recreational",6.8,NA,"Headwaters in Londonderry Township","500 ft north of Borough of West Grove Wastewater treatment plant","NPS","Yes","Yes","No","No","No","No","Yes","Pennsylvania","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.114892163565345
"232",251,"163A","163A.3005","White Clay Wild and Scenic River","White Clay","Middle Branch White Clay Creek","Recreational",14,NA,"500 ft south of Borough of West Grove wastewater treatment plant","Boundary of White Clay Creek Preserve","NPS","Yes","Yes","No","No","No","No","Yes","Pennsylvania","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.217746214696223
"233",252,"163A","163A.3006","White Clay Wild and Scenic River","White Clay","White Clay Creek","Scenic",2.1,NA,"North boundary of White Clay Creek Preserve","Southern boundary of White Clay Creek Preserve","NPS","Yes","Yes","No","No","No","No","Yes","Pennsylvania","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.0519761630305669
"234",253,"163A","163A.3007","White Clay Wild and Scenic River","White Clay","West Branch White Clay Creek","Recreational",17.2,NA,"Headwaters within Penn Township","Confluence of the Middle Branch","NPS","Yes","Yes","No","No","No","No","Yes","Pennsylvania","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.283007559636848
"235",254,"163A","163A.3008","White Clay Wild and Scenic River","White Clay","White Clay Creek","Scenic",NA,NA,"Main stem, excluding Lamborn Run beginning at the confluence of the east and middle branches in London Britain Township, PA","Downstream to the northern boundary line of the city of Newark, DE","NPS","Yes","Yes","No","No","No","No","Yes","Delaware, Pennsylvania","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.261027748872695
"236",255,"163A","163A.3009","White Clay Wild and Scenic River","White Clay","White Clay Creek","Recreational",NA,NA,"Main stem (including 2nd order tributaries outside the boundaries of preseve and park, beginning at the confluence of the east and middle branches in London Britain, PA","Northern Boundary line of Newark, DE","NPS","Yes","Yes","No","No","No","No","Yes","Delaware, Pennsylvania","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.121324785554456
"237",256,"163A","163A.3010","White Clay Wild and Scenic River","White Clay","White Clay Creek","Recreational",16.8,NA,"Paper Mill Road","Old Route 4 bridge","NPS","Yes","Yes","","","","","Yes","Delaware","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.129106086080902
"238",257,"163A","163A.3011","White Clay Wild and Scenic River","White Clay","White Clay Creek","Recreational",4.4,NA,"Southern boundary of United Water Delaware property","Confluence of Christina River","NPS","Yes","Yes","","","","","Yes","Delaware","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.0518207140227688
"239",258,"163A","163A.3012","White Clay  Wild and Scenic River","White Clay ","Middle Run","Recreational",NA,NA,"1.3 miles outside of Middle Run Natural Area","Boundary of Middle Run Natural Area","NPS","Yes","Yes","","","","","Yes","Delaware","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.0579472176778274
"240",259,"163A","163A.3013","White Clay Wild and Scenic River","White Clay","Middle Run","Scenic",NA,NA,"beginning/ upstream boundary of the Middle Run Natural Area","End boundary of Middle Run Natural Area","NPS","Yes","Yes","","","","","Yes","Delaware","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.0961129042180414
"241",260,"163A","163A.3014","White Clay Wild and Scenic River","White Clay","Pike Creek","Recreational",NA,NA,"Headwaters of Pike Run","Mouth of Pike Run","NPS","Yes","Yes","","","","","Yes","Delaware","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.23536676349896
"242",261,"15","15.3004","Obed Wild and Scenic River","Obed","Obed River","Scenic",NA,NA,"The Emory River from the confluence with the Obed River","to Nemo Bridge.","NPS","Yes","Yes","Yes","No","Yes","Yes","Yes","Tennessee","Ecologic, Vegetation, Aquatic","","Cultural, Fish, Geologic, Recreation, Scenic, Wildlife, Ecologic, Vegetation, Aquatic",NA,"Obed Wild and Scenic River","",0.0872061407658387
"243",262,"154","154.2001","Red Wild and Scenic River","Red","Red River","Wild",9.1,19.4,"Highway 746 Bridge","Swift Camp Creek","USFS","Yes","Yes","Yes","Yes","Yes","Yes","No","Kentucky","","","Cultural, Fish, Geologic, Historic, Recreation, Scenery",NA," DANIEL BOONE NATIONAL FOREST","MENIFEE, WOLFE",0.157248934409344
"244",263,"154","154.2002","Red Wild and Scenic River","Red","Red River","Recreational",10.3,19.4,"Swift Camp Creek","School House Branch","USFS","Yes","Yes","Yes","Yes","Yes","Yes","No","Kentucky","","","Cultural, Fish, Geologic, Historic, Recreation, Scenery",NA," DANIEL BOONE NATIONAL FOREST","MENIFEE, POWELL< WOLFE",0.163187632351342
"245",264,"155","155.1001","Rio Grande Wild and Scenic River","Rio Grande","Rio Grande","Wild",NA,NA,"","","BLM","No","No","No","No","No","No","No","New Mexico","","","",NA,"","",0.280533178053147
"246",265,"155","155.1002","Rio Grande Wild and Scenic River","Rio Grande","Rio Grande","Scenic",NA,NA,"","","BLM","No","No","No","No","No","No","No","New Mexico","","","",NA,"","",0.154791741953563
"247",266,"156","156.3001","West Branch Farmington Wild and Scenic River","West Branch Farmington","Farmington","Recreational",NA,NA,"The segment of the West Branch and mainstem extending from immediately below the Goodwin Dam and Hydroelectric Project in Hartland","To the downstream end of the New Hartford/Canton town line","NPS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Connecticut","Ecology, Hydrology, Traditional Use, Water Quality","156.1","Cultural, Fish, Geologic, Historic, Recreation, Scenic, Wildlife, Ecologic, Hydrology, Traditional Use, Water Quality",NA,"","",0.24292790898898
"248",267,"157","157.2001","Clarion Wild and Scenic River","Clarion","Clarion River","Recreational",8.6,51.7,"Allegheny National Forest/State Game Lands Number 44 boundary, approximately .7 mile downstream from Ridgway Borough limit","Portland Mills","USFS","No","No","No","No","Yes","Yes","No","Pennsylvania","","","Recreation, Scenery",NA," ALLEGHENY NATIONAL FOREST","ELK",0.157253015480275
"249",268,"157","157.2002","Clarion Wild and Scenic River","Clarion","Clarion River","Scenic",8,51.7,"Portland Mills","Allegheny National Forest Boundary, approximately .8 mile downstream from Irwin Run","USFS","No","No","No","No","Yes","Yes","No","Pennsylvania","","","Recreation, Scenery",NA," ALLEGHENY NATIONAL FOREST","ELK",0.147204430561783
"250",269,"157","157.2003","Clarion Wild and Scenic River","Clarion","Clarion River","Recreational",26,51.7,"Allegheny National Forest Boundary, approximately .8 mile downstream from Irwin Run","State Game Lands 283 boundary, approximately 0.9 mile downstream from Cooksburg Bridge","USFS","No","No","No","No","Yes","Yes","No","Pennsylvania","","","Recreation, Scenery",NA," ALLEGHENY NATIONAL FOREST","ELK, JEFFERSON, FOREST",0.428521490988403
"251",231,"146","146.3004","Maurice Wild and Scenic River","Maurice","Maurice River","Scenic",NA,NA,"One-half mile north of US Geological Survey Station at Burcham Farm","South side of the MIllville Sewage Treatment Plant","NPS","Yes","Yes","No","No","Yes","No","Yes","New Jersey","Ecology, Water Quality ","146.1","Cultural, Fish, Recreation, Wildlife, Ecologic, Water Quality",NA,"","",0.0596833519548271
"252",232,"146","146.3005","Maurice Wild and Scenic River","Maurice","Menantico Creek","Recreational",NA,NA,"Confluence with the Maurice River","Route 55 bridge","NPS","Yes","Yes","No","No","Yes","No","Yes","New Jersey","Ecology, Water Quality ","146.1","Cultural, Fish, Recreation, Wildlife, Ecologic, Water Quality",NA,"","",0.0276805573502916
"253",233,"146","146.3006","Maurice Wild and Scenic River","Maurice","Menantico Creek","Scenic",NA,NA,"Route 55 bridge","Base of the impounnd at Menantico Lake","NPS","Yes","Yes","No","No","Yes","No","Yes","New Jersey","Ecology, Water Quality ","146.1","Cultural, Fish, Recreation, Wildlife, Ecologic, Water Quality",NA,"","",0.111367868284414
"254",234,"146","146.3007","Maurice Wild and Scenic River","Maurice","Manumuskin Creek","Recreational",NA,NA,"Confluence with the Maurice River","2.0 miles upstream from confluence with Maurice River","NPS","Yes","Yes","No","No","Yes","No","Yes","New Jersey","Ecology, Water Quality ","146.1","Cultural, Fish, Recreation, Wildlife, Ecologic, Water Quality",NA,"","",0.0327576391764541
"255",235,"146","146.3008","Maurice Wild and Scenic River","Maurice","Manumuskin Creek","Scenic",NA,NA,"2.0 miles upstream from confluence with Maurice River","Headwaters near Route 557","NPS","Yes","Yes","No","No","Yes","No","Yes","New Jersey","Ecology, Water Quality","146.1","Cultural, Fish, Recreation, Wildlife, Ecologic, Water Quality",NA,"","",0.226232816579833
"256",236,"146","146.3009","Maurice Wild and Scenic River","Maurice","Muskee Creek","Scenic",NA,NA,"Confluence with the Maurice River","Pennsylvania Reading Seashore Line Railroad bridge","NPS","Yes","Yes","No","No","Yes","No","Yes","New Jersey","Ecology, Water Quality ","146.1","Cultural, Fish, Recreation, Wildlife, Ecologic, Water Quality",NA,"","",0.0500650359186104
"257",237,"15","15.3001","Obed Wild and Scenic River","Obed","Obed River","Wild",NA,NA,"The segment from the western edge of the Catoosa Wildlife Management Area","to the confluence with the Emory River","NPS","Yes","Yes","Yes","No","Yes","Yes","Yes","Tennessee","Ecologic, Vegetation, Aquatic","","Cultural, Fish, Geologic, Recreation, Scenic, Wildlife, Ecologic, Vegetation, Aquatic",NA,"Obed Wild and Scenic River","",0.342164072131766
"258",238,"15","15.3002","Obed Wild and Scenic River","Obed","Clear Creek","Wild",NA,NA,"Clear Creek from the Morgan County line","to the confluence with the Obed River.","NPS","Yes","Yes","Yes","No","Yes","Yes","Yes","Tennessee","Ecologic, Vegetation, Aquatic","","Cultural, Fish, Geologic, Recreation, Scenic, Wildlife, Ecologic, Vegetation, Aquatic",NA,"Obed Wild and Scenic River","",0.289591739000641
"259",239,"15","15.3003","Obed Wild and Scenic River","Obed","Daddy's Creek","Wild",NA,NA,"Daddy's Creek from the Morgan County line","to the confluence with the Obed River","NPS","Yes","Yes","Yes","No","Yes","Yes","Yes","Tennessee","Ecologic, Vegetation, Aquatic","","Cultural, Fish, Geologic, Recreation, Scenic, Wildlife, Ecologic, Vegetation, Aquatic",NA,"Obed Wild and Scenic River","",0.0363516899672885
"260",240,"162","162.3008","Wekiva Wild and Scenic River","Wekiva","Black Water Creek","Scenic",NA,NA,".25 miles downstream of Seminole State Forest rd crossing",".25 miles upstream of Seminole State Forest rd crossing","NPS","No","Yes","No","Yes","Yes","Yes","Yes","Florida","","162.1","Fish, Historic, Recreation, Scenic, Wildlife",NA,"","",0.00505805416855231
"261",241,"162","162.3009","Wekiva Wild and Scenic River","Wekiva","Black Water Creek","Scenic",NA,NA,".25 miles upstream of Semiole State Forest rd crossing",".25 miles downstream of old railroad crossing","NPS","No","Yes","No","Yes","Yes","Yes","Yes","Florida","","162.1","Fish, Historic, Recreation, Scenic, Wildlife",NA,"","",0.0812428796883548
"262",242,"162","162.3010","Wekiva Wild and Scenic River","Wekiva","Black Water Creek","Scenic",NA,NA,".25 miles downstream of old RR grade crossing","boundary of Seminole State Forest","NPS","No","Yes","No","Yes","Yes","Yes","Yes","Florida","","162.1","Fish, Historic, Recreation, Scenery, Wildlife",NA,"","",0.0201307118134257
"263",243,"162","162.3011","Wekiva Wild and Scenic River","Wekiva","Black Water Creek","Wild",NA,NA,"boundary of Seminole State Forest",".25 miles downstream of St Rt 44","NPS","No","Yes","No","Yes","Yes","Yes","Yes","Florida","","162.1","Fish, Historic, Recreation, Scenic, Wildlife",NA,"","",0.0233013909935035
"264",244,"162","162.3012","Wekiva Wild and Scenic River","Wekiva","Black Water Creek","Recreational",NA,NA,".25 miles downstream of St Rt 44",".25 miles upstream of St Rt 44A","NPS","No","Yes","No","Yes","Yes","Yes","Yes","Florida","","162.1","Fish, Historic, Recreation, Scenic, Wildlife",NA,"","",0.00836165342753216
"265",245,"162","162.3013","Wekiva Wild and Scenic River","Wekiva","Black Water Creek","Wild",NA,NA,".25 miles upstream of St Rt 44A",".25 miles downstream of Lake Norris Rd","NPS","No","Yes","No","Yes","Yes","Yes","Yes","Florida","","162.1","Fish, Historic, Recreation, Scenic, Wildlife",NA,"","",0.0847959920345025
"266",246,"162","162.3014","Wekiva Wild and Scenic River","Wekiva","Black Water Creek","Recreational",NA,NA,".25 miles downstream of Lake Norris Rd","outflow from Lake Norris","NPS","No","Yes","No","Yes","Yes","Yes","Yes","Florida","","162.1","Fish, Historic, Recreation, Scenic, Wildlife",NA,"","",0.0123386679639819
"267",247,"163A","163A.3001","White Clay Wild and Scenic River","White Clay","East Branch White Clay Creek","Recreational",30.8,NA,"Headwaters within West Marlborough township","500 ft of Borough of Avondale wastewater treatment facility","NPS","Yes","Yes","No","No","No","No","Yes","Pennsylvania","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.516063377332963
"268",248,"163A","163A.3002","White Clay Wild and Scenic River","White Clay","East Branch White Clay Creek","Scenic",15,NA,"Southern boundary of Borough of Avondale","New Garden Township at Franklin Township boundary line including Walnut Run and Broad Run outside the preserve","NPS","Yes","Yes","No","No","No","No","Yes","Delaware, Pennsylvania","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.453688909692922
"269",249,"163A","163A.3003","White Clay Wild and Scenic River","White Clay","White Clay Creek","Scenic",4,NA,"Northern boundary of White Clay Creek Preserve","Confluence with Middle and East Branch","NPS","Yes","Yes","No","No","No","No","Yes","Delaware, Pennsylvania","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.113147982153079
"270",283,"165","165.3010","Delaware Wild and Scenic River","Delaware","Rapp Creek","Scenic",NA,NA,"Headwaters","Confluence with Tinicum Creek","NPS","Yes","No","Yes","No","Yes","Yes","No","Pennsylvania","Ecology","165.2","Cultural, Geologic, Recreation, Scenery, Ecology",NA,"","",0.0795463215784859
"271",284,"166A","166A.2001","Rio Mameyes Wild and Scenic River","Rio Mameyes","Rio Mameyes","Wild",2.1,4.5,"Headwaters in Bano de Oro Research Natural Area","Crossing point of Trail No. 24/11 (approximately 500 feet upstream from the confluence with Rio de la Mina)","USFS","No","Yes","No","No","No","Yes","Yes","Puerto Rico","","","Fish, Scenery, Wildlife",NA," EL YUNQUE NATIONAL FOREST","RIO GRANDE MUNICIPIO",0.0337135446971114
"272",285,"166A","166A.2002","Rio Mameyes Wild and Scenic River","Rio Mameyes","Rio Mameyes","Scenic",1.4,4.5,"Crossing point of Trail No. 24/11","Access point of Trail No. 7","USFS","No","Yes","No","No","No","Yes","Yes","Puerto Rico","","","Fish, Scenery, Wildlife",NA," EL YUNQUE NATIONAL FOREST","RIO GRANDE MUNICIPIO, LUQUILLO",0.0430991377498714
"273",286,"166A","166A.2003","Rio Mameyes Wild and Scenic River","Rio Mameyes","Rio Mameys","Recreational",1,4.5,"Access point of Trail No. 7","El Yunque National Forest northern boundary","USFS","No","Yes","No","No","Yes","Yes","Yes","Puerto Rico","","","Fish, Recreation, Scenery, Wildlife",NA," EL YUNQUE NATIONAL FOREST","RIO GRANDE MUNICIPIO, LUQUILLO",0.0202261961270499
"274",290,"163A","163A.3019","White Clay Wild and Scenic River","White Clay","Unnamed trib to 163.3010","Recreational",NA,NA,"Headwaters","Confluence of White Clay Creek","NPS","Yes","Yes","","","","","Yes","Delaware","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.0112680600897228
"275",291,"163A","163A.3020","White Clay Wild and Scenic River","White Clay","Unnamed trib to 163.3010","Recreational",NA,NA,"Headwaters","Confluence of White Clay Creek","NPS","Yes","Yes","","","","","Yes","Delaware","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.0116839296011295
"276",292,"163A","163A.3021","White Clay Wild and Scenic River","White Clay","Unnamed trib to 163.3010","Recreational",NA,NA,"Headwaters","Confluence of White Clay Creek","NPS","Yes","Yes","","","","","Yes","Delaware","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.0123373866822833
"277",293,"163A","163A.3022","White Clay Wild and Scenic River","White Clay","Unnamed trib to 163.3010","Recreational",NA,NA,"Headwaters","Confluence of White Clay Creek","NPS","Yes","Yes","","","","","Yes","Delaware","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.00950627853991603
"278",294,"163A","163A.3023","White Clay Wild and Scenic River","White Clay","Unnamed trib to 163.3010","Recreational",NA,NA,"Headwaters","Confluence of White Clay Creek","NPS","Yes","Yes","","","","","Yes","Delaware","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.0121531847069081
"279",295,"163A","163A.3024","White Clay Wild and Scenic River","White Clay","Unnamed trib to 163.3010","Recreational",NA,NA,"Headwaters","Confluence of White Clay Creek","NPS","Yes","Yes","","","","","Yes","Delaware","Hydro-Geology, Water Quality and Quantity, Botany","163A.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.00846085882612142
"280",296,"163B","163B.3001","White Clay Wild and Scenic River","White Clay","Lamborn Run","Scenic",9,NA,"Headwaters of Lamborn Run","Confluence with the main stem of the White Clay Creek","NPS","Yes","Yes","No","No","No","No","Yes","Delaware, Pennsylvania","Hydro-Geology, Botany, Water Quality and Quantity","163B.1","Hydro-Geology, Water Quality and Quantity, Botany, Cultural, Fish, Wildlife",NA,"","",0.0565414280253904
"281",297,"164","164.1001","Wildhorse Creek and Kinger Creek Wild and Scenic River","Wildhorse Creek and Kinger Creek","Wildhorse-Wildhorse Creek","Wild",NA,NA,"","","BLM","No","No","No","No","No","No","No","Oregon","","","",NA,"","",0.108791673992975
"282",298,"166B","166B.2001","Rio De La Mina Wild and Scenic River","Rio De La Mina","Rio De La Mina","Recreational",0.9,2.1,"Headwaters in El Yunque Recreation Area","La Mina Falls","USFS","No","Yes","No","Yes","Yes","Yes","Yes","Puerto Rico","","","Fish, Historic, Recreation, Scenery, Wildlife",NA," EL YUNQUE NATIONAL FOREST","RIO GRANDE MUNICIPIO",0.0153710156269164
"283",299,"166B","166B.2002","Rio De La Mina Wild and Scenic River","Rio De La Mina","Rio De La Mina","Scenic",1.2,2.1,"La Mina Falls","Confluence with Rio Mayemes","USFS","No","No","No","No","No","No","No","Puerto Rico","","","",NA,"EL YUNQUE","RIO GRANDE MUNICIPO",0.0164352596772063
"284",300,"166C","166C.2001","Rio Icacos Wild and Scenic River","Rio Icacos","Rio Icacos","Scenic",2.3,2.3,"Headwaters","El Yunque National Forest southern boundary","USFS","Yes","Yes","No","Yes","No","Yes","Yes","Puerto Rico","Ecology","","Cultural, Fish, Historic, Scenery, Wildlife, Ecology",NA," EL YUNQUE NATIONAL FOREST","NAGUABO MUNICIPIO",0.0653072799146981
